id,plate_row,plate_col,volume_added,calculated_concentration,sample_volume,total_amount,vol_dna,ng_dna_input,vol_h2o,lib_plate,lib_row,lib_col,i7_primer,i5_primer
WS01,A,7,3,35.4581840642173,50,1772.90920321086,6.28877399201489,222.988505747126,3.41122600798511,1,B,2,i7010,i502
WS02,B,7,3,35.1240537045066,50,1756.20268522533,6.34859824617897,222.988505747126,3.35140175382103,1,D,3,i7011,i504
WS03,C,7,3,33.7805971490974,50,1689.02985745487,6.60108241316523,222.988505747126,3.09891758683477,1,E,2,i7010,i505
WS04,D,7,3,33.1279848978264,50,1656.39924489132,6.73112193315921,222.988505747126,2.96887806684079,1,D,1,i709,i504
WS05,E,7,3,33.4855879597626,50,1674.27939798813,6.65923817778194,222.988505747126,3.04076182221806,1,H,1,i709,i508
WS06,F,7,3,36.2201577690391,50,1811.00788845195,6.15647527459796,222.988505747126,3.54352472540204,1,D,4,i7012,i504
WS07,G,7,3,34.5893384348686,50,1729.46692174343,6.44674098543433,222.988505747126,3.25325901456567,1,A,3,i7011,i501
WS08,H,7,3,31.4943203876286,50,1574.71601938143,7.08027679285054,222.988505747126,2.61972320714946,1,B,4,i7012,i502
WS09,A,8,3,32.3318690806766,50,1616.59345403383,6.89686405665911,222.988505747126,2.80313594334089,1,F,3,i7011,i506
WS10,B,8,3,33.6059744704194,50,1680.29872352097,6.63538282287886,222.988505747126,3.06461717712114,1,D,2,i7010,i504
WS11,C,8,3,34.0535562242202,50,1702.67781121101,6.54817089524789,222.988505747126,3.15182910475211,1,F,4,i7012,i506
WS12,D,8,3,34.237425724987,50,1711.87128624935,6.51300443959448,222.988505747126,3.18699556040552,1,A,2,i7010,i501
WS13,E,8,3,31.0682552775345,50,1553.41276387673,7.17737458235609,222.988505747126,2.52262541764391,1,A,4,i7012,i501
WS14,F,8,3,35.8870943503387,50,1794.35471751693,6.21361271465049,222.988505747126,3.48638728534951,1,G,1,i709,i507
WS15,G,8,3,32.1938780433506,50,1609.69390216753,6.92642574612669,222.988505747126,2.77357425387331,1,F,1,i709,i506
WS16,H,8,3,32.1088784095339,50,1605.44392047669,6.94476159842805,222.988505747126,2.75523840157195,1,E,4,i7012,i505
WS17,A,9,3,36.8393392019888,50,1841.96696009944,6.05299960795953,222.988505747126,3.64700039204047,1,G,2,i7010,i507
WS18,B,9,3,33.8287873180604,50,1691.43936590302,6.59167896414892,222.988505747126,3.10832103585108,1,H,3,i7011,i508
WS19,C,9,3,33.0723261417916,50,1653.61630708958,6.74245001065555,222.988505747126,2.95754998934445,1,H,2,i7010,i508
WS20,D,9,3,30.347003154604,50,1517.3501577302,7.34795803760598,222.988505747126,2.35204196239402,1,F,2,i7010,i506
WS21,E,9,3,34.199015848618,50,1709.9507924309,6.52031937802495,222.988505747126,3.17968062197505,1,B,3,i7011,i502
WS22,F,9,3,34.5852484943293,50,1729.26242471646,6.44750335634247,222.988505747126,3.25249664365753,1,E,3,i7011,i505
WS23,G,9,3,30.4222224958268,50,1521.11112479134,7.32979011568649,222.988505747126,2.37020988431351,1,C,1,i709,i503
WS24,H,9,3,33.3179003976513,50,1665.89501988257,6.69275383759913,222.988505747126,3.00724616240087,1,B,1,i709,i502
WS25,A,10,3,29.6470898518786,50,1482.35449259393,7.52142982198965,222.988505747126,2.17857017801035,1,G,3,i7011,i507
WS26,B,10,3,29.2898424369458,50,1464.49212184729,7.61316849782202,222.988505747126,2.08683150217797,1,C,2,i7010,i503
WS27,C,10,3,37.3591172974833,50,1867.95586487417,5.96878411156005,222.988505747126,3.73121588843995,1,E,1,i709,i505
WS28,D,10,3,30.5260714208247,50,1526.30357104123,7.30485435459622,222.988505747126,2.39514564540378,1,C,4,i7012,i503
WS30,E,10,3,24.6383352792495,50,1231.91676396247,9.05046965307466,222.988505747126,0.649530346925337,1,C,3,i7011,i503
WS31,F,10,3,31.8423209804725,50,1592.11604902363,7.0028973668055,222.988505747126,2.6971026331945,1,A,1,i709,i501
